Dimensions: 237 60
X Y
0.090052 0.063104
0.099648 0.066144
0.109677 0.069105
0.120129 0.071980
0.130993 0.074756
0.142257 0.077425
0.153910 0.079977
0.165937 0.082404
0.178327 0.084696
0.191066 0.086844
0.204138 0.088842
0.217529 0.090681
0.231225 0.092354
0.245208 0.093855
0.259464 0.095179
0.273975 0.096319
0.288725 0.097271
0.303697 0.098031
0.318874 0.098596
0.334238 0.098963
0.349771 0.099129
0.365455 0.099093
0.381274 0.098855
0.397207 0.098415
0.413028 0.097797
0.428894 0.097049
0.444827 0.096173
0.460811 0.095173
0.476828 0.094052
0.492862 0.092814
0.508896 0.091462
0.524914 0.090000
0.540898 0.088433
0.556833 0.086766
0.572702 0.085003
0.588488 0.083148
0.604176 0.081208
0.619750 0.079187
0.635193 0.077092
0.650491 0.074926
0.665628 0.072697
0.680588 0.070410
0.695357 0.068070
0.709920 0.065684
0.724263 0.063259
0.738371 0.060800
0.752231 0.058313
0.765829 0.055805
0.779151 0.053283
0.792185 0.050753
0.804918 0.048221
0.817338 0.045694
0.829433 0.043178
0.841191 0.040681
0.852601 0.038209
0.863652 0.035768
0.874333 0.033365
0.884635 0.031007
0.894548 0.028700
0.904063 0.026450
0.913170 0.024264
0.921862 0.022147
0.930130 0.020107
0.937967 0.018148
0.945365 0.016276
0.952318 0.014497
0.958820 0.012817
0.964864 0.011239
0.970445 0.009769
0.975558 0.008411
0.980199 0.007170
0.984363 0.006048
0.988047 0.005051
0.991247 0.004180
0.993961 0.003438
0.996186 0.002828
0.997921 0.002351
0.999163 0.002010
0.999912 0.001804
1.000167 0.001736
1.263158 0.000487
1.526316 0.000487
1.789474 0.000487
2.052632 0.000487
2.315789 0.000487
2.578947 0.000487
2.842105 0.000487
3.105263 0.000487
3.368421 0.000487
3.631579 0.000487
3.894737 0.000487
4.157895 0.000487
4.421053 0.000487
4.684211 0.000487
4.947368 0.000487
5.210526 0.000487
5.473684 0.000487
5.736842 0.000487
6.000000 0.000487
6.000000 -0.001045
5.736842 -0.001045
5.473684 -0.001045
5.210526 -0.001045
4.947368 -0.001045
4.684211 -0.001045
4.421053 -0.001045
4.157895 -0.001045
3.894737 -0.001045
3.631579 -0.001045
3.368421 -0.001045
3.105263 -0.001045
2.842105 -0.001045
2.578947 -0.001045
2.315789 -0.001045
2.052632 -0.001045
1.789474 -0.001045
1.526316 -0.001045
1.263158 -0.001045
0.999834 -0.002294
0.999561 -0.002295
0.998776 -0.002299
0.997479 -0.002306
0.995673 -0.002315
0.993358 -0.002328
0.990539 -0.002344
0.987217 -0.002363
0.983397 -0.002386
0.979083 -0.002412
0.974279 -0.002444
0.968991 -0.002480
0.963225 -0.002521
0.956988 -0.002569
0.950286 -0.002623
0.943126 -0.002684
0.935517 -0.002753
0.927467 -0.002831
0.918984 -0.002918
0.910078 -0.003016
0.900759 -0.003125
0.891037 -0.003246
0.880921 -0.003381
0.870424 -0.003529
0.859556 -0.003694
0.848328 -0.003874
0.836754 -0.004072
0.824844 -0.004288
0.812613 -0.004524
0.800072 -0.004780
0.787234 -0.005057
0.774114 -0.005356
0.760724 -0.005678
0.747080 -0.006023
0.733194 -0.006391
0.719081 -0.006783
0.704756 -0.007200
0.690233 -0.007640
0.675528 -0.008103
0.660655 -0.008590
0.645629 -0.009099
0.630465 -0.009630
0.615179 -0.010181
0.599786 -0.010751
0.584302 -0.011338
0.568741 -0.011940
0.553120 -0.012555
0.537453 -0.013181
0.521757 -0.013815
