i,j,x,y
65,0,0.5675598186070342,-0.011223349280703905
66,0,0.5479801977106449,-0.012011814546509084
67,0,0.5283380397824833,-0.01281573065033731
68,0,0.5086636625599023,-0.01362955696727182
69,0,0.4889872852891855,-0.01444717587300546
70,0,0.469338983354869,-0.015261929978114791
71,0,0.44974864503333484,-0.01606666868015743
72,0,0.4302459306019743,-0.016853803443828613
73,0,0.4108602339899918,-0.01761537101995387
74,0,0.3917582092563854,-0.01835269163586732
75,0,0.37301116720431315,-0.01913133667824332
76,0,0.35446866021976675,-0.019955641382159058
77,0,0.3361557828076669,-0.0208132500794751
78,0,0.31809716124751597,-0.021691338199330272
79,0,0.30031696620824627,-0.022576726316690048
80,0,0.2828389285406262,-0.023455994023506815
81,0,0.2656863572193065,-0.024315591938320946
82,0,0.24888215832194802,-0.025141950266544602
83,0,0.23244885388151468,-0.025921582452309563
84,0,0.21640859943230484,-0.02664118261929161
85,0,0.2007831990919102,-0.027287715677443973
86,0,0.1855941170799071,-0.027848499169802962
87,0,0.17086248466822612,-0.02831127614300772
88,0,0.15660910168510309,-0.02866427854143541
89,0,0.14285443185038674,-0.028896280842580297
90,0,0.12961859139993098,-0.028996643865477484
91,0,0.1169213306551781,-0.028955348889974013
92,0,0.10478200840464398,-0.02876302241834569
93,0,0.09321955918027713,-0.02841095208856305
94,0,0.08225245372690673,-0.027891094407414246
95,0,0.0718986531706272,-0.027196075109276296
96,0,0.06217555758570879,-0.026319183060757735
97,0,0.0530999498336745,-0.02525435872144416
98,0,0.04468793569739946,-0.023996178235828194
99,0,0.036954881453122736,-0.02253983427095815
100,0,0.029915350110646853,-0.02088111472860571
101,0,0.02358303760428325,-0.019016380450454763
102,0,0.017970710232827,-0.01694254300093159
103,0,0.013090144625643398,-0.014657043556136317
104,0,0.008952071454478207,-0.012157833850475922
105,0,0.005566124018559857,-0.00944336003686383
106,0,0.0029407927065859766,-0.006512550203769965
107,0,0.0010833861868113095,-0.0033648061651786964
108,0,0.0,0.0
109,0,-0.00029278341411315253,0.0035228485881253027
110,0,0.00022036827871819097,0.007143533283483923
111,0,0.0015418022794667324,0.010858629969436876
112,0,0.0036725866091884304,0.014662842714306186
113,0,0.006612488569720408,0.018549045975855195
114,0,0.010359949726762942,0.022508346706131336
115,0,0.014912058068296333,0.02653016553611555
116,0,0.020264518161570468,0.030602335985572035
117,0,0.026411620278149382,0.034711220424505154
118,0,0.03334620957439385,0.03884184131164944
119,0,0.041059656500802344,0.042978026055206564
120,0,0.04954182966515931,0.047102563684161304
121,0,0.05878107238979032,0.05119737138729154
122,0,0.06876418418172933,0.055243668873487944
123,0,0.07947640827666558,0.05922215843296541
124,0,0.09090142632459124,0.06311320853576387
125,0,0.10302136115960978,0.06689703879258974
126,0,0.1158167884418389,0.07055390412407223
127,0,0.12926675778011917,0.07406427603794126
128,0,0.14334882374547156,0.07740901899897355
129,0,0.1580390869727371,0.0805695599927134
130,0,0.17331224532787284,0.08352804952926086
131,0,0.18914165489756543,0.08626751250549985
132,0,0.20549940034284686,0.08877198754003826
133,0,0.22235637395581767,0.09102665361125506
134,0,0.23968236257462996,0.09301794306099735
135,0,0.2574461413521875,0.09473364026991297
136,0,0.27561557324346186,0.09616296555996016
137,0,0.29415771297875987,0.09729664412977954
138,0,0.3130389142284762,0.09812696007362404
139,0,0.33222493864026537,0.09864779576865425
140,0,0.35168106544231237,0.09885465713299618
141,0,0.3713722003552121,0.09874468545274095
142,0,0.39126298263729664,0.09831665664527842
143,0,0.4111418703324579,0.09758847698691964
144,0,0.4310185374089576,0.09664528483045849
145,0,0.45099755605860364,0.09550279106713205
146,0,0.47104589147531106,0.0941670459180545
147,0,0.4911305270457444,0.09264481885520987
148,0,0.5112185251051679,0.09094354716436198
149,0,0.5312770853873368,0.08907128547161833
150,0,0.5512736011974169,0.0870366569820143
151,0,0.571175713382034,0.08484880702337519
152,0,0.590951362205271,0.08251735932466676
153,0,0.6105688372630983,0.08005237529007195
154,0,0.6299968255811618,0.07746431636316309
155,0,0.6492044580423534,0.07476400941465641
156,0,0.6681613542819755,0.0719626149369553
157,0,0.6868376661707172,0.06907159769323437
158,0,0.7052041199806832,0.06610269935187763
159,0,0.7232320572991354,0.06306791254176261
160,0,0.7408934747204367,0.059979455692570446
161,0,0.7581610623110312,0.05684974797866835
162,0,0.775008240807232,0.05369138366602712
163,0,0.7914091974731179,0.05051710516920766
164,0,0.8073389205177997,0.04733977415899676
165,0,0.8227732319492285,0.044172340119385756
166,0,0.8376888187268517,0.041027805833174766
167,0,0.8520632620686306,0.03791918937584926
168,0,0.8658750647696808,0.03485948231430634
169,0,0.8791036764001412,0.03186160393686673
170,0,0.8917295162684715,0.028938351479858654
171,0,0.9037339940624515,0.02610234645976828
172,0,0.9150995281126558,0.023365977364313995
173,0,0.925809561260685,0.020741339096638604
174,0,0.9358485743553495,0.018240169700122218
175,0,0.9452020974425425,0.015873785013324083
176,0,0.9538567187568452,0.013653012011851779
177,0,0.9618000916631301,0.011588121683556149
178,0,0.9690209397327736,0.009688762352869747
179,0,0.975509060169956,0.007963894417433967
180,0,0.981255325827483,0.006421727484063748
181,0,0.9862516860675197,0.005069660890876418
